,0
dow_mean_4w,0.29782583594636414
roll_med_28,0.039046180598072446
items_on_promo,0.03483248994798194
roll_mean_14,0.018889786505633627
roll_med_7,0.01007003002066309
dow_mean_20w,0.009839924576567719
dow_mean_8w,0.004063600408365324
roll_med_112,0.0028201788858647583
promo_fwd_7,0.0025440084196924895
zero_share_112,0.00214240532550077
family,0.001927757704814459
lag_28,0.0013872809970275624
roll_mean_7,0.0009679908983329932
lag_49,0.0007924252846681264
roll_std_28,0.0007661706821427602
