fold,n_train,n_test,naive_rmsle,naive_wape,ma_rmsle,ma_wape,ridge_rmsle,ridge_wape,rf_rmsle,rf_wape,hgb_rmsle,hgb_wape
Fold A,34560,27648,0.5405104170590151,0.208603678604478,0.4912824493588666,0.2611753563296428,0.6185303110717456,0.3605899977441966,0.3960882691341983,0.1344094764891081,0.3926536880080283,0.1324705994624705
Fold B,62208,27661,0.5353200099413148,0.1660588246240056,0.4683046494798749,0.225410890776213,0.7172804254109145,0.3879941929056146,0.3972603258918049,0.1247883123097021,0.3960637508656345,0.122990492859042
Fold C (= final holdout),103701,27664,0.6426177487371467,0.1984753674363686,0.5590420010370737,0.2120151216388578,0.7894366354717544,0.480799751003573,0.4925832056216371,0.170585019187828,0.4368491233854001,0.1601052521237404
