policy,fill_rate,stockout_days,stockout_day_rate,mean_units_held,units_sold,units_lost,waste_units,waste_rate,holding_cost,stockout_cost,waste_cost,total_cost,cost_vs_P1
P1_moving_avg_7d,0.9052868652227439,15308,0.31455225414046767,231514.90589285715,24492723.973857142,2562483.5131428572,1498.4292857142855,6.117854785419815e-05,10899.387857536694,2282751.323041071,5252.437703571429,2298903.1486021797,0.0
P2_model_P50,0.9310008540231405,18109,0.3721078370936588,149436.60626345873,25188421.276170265,1866786.2108297343,3032.797264535632,0.00012040442039949672,6379.46599376019,1802228.699512083,9351.708793011272,1817959.8742988547,-0.2092055398661561
P3_newsvendor_q*,0.9798197093868625,6092,0.12517979698352033,665950.2094092879,26509225.537313607,545981.9496863915,3032.797264535632,0.00011440535146025885,38045.94856769515,535689.2232158778,9351.708793011272,583086.8805765843,-0.7463630075363883
P4_model_P95,0.9842400085471553,1634,0.03357580240825217,548510.007931189,26628817.64824994,426389.83875006356,25161.121541596905,0.0009448831665738831,29186.80975405794,391191.729765289,74466.12729142215,494844.66681076906,-0.7847474926850861
P5_perfect_foresight,1.0,0,0.0,318.01450892859367,27055207.487,2.9381386212889993e-10,0.0,0.0,81.32365949119462,2.3713270014269483e-10,0.0,81.32365949143177,-0.9999646250171345
